Serial,EventId,InvestigationType,AccidentNumber,EventDate,Location,Country,Latitude,Longitude,AirportCode,AirportName,InjurySeverity,AircraftDamage,AircraftCategory,RegistrationNumber,Make,Model,AmateurBuilt,NumberofEngines,EngineType,FARDescription,Schedule,PurposeofFlight,AirCarrier,TotalFatalInjuries,TotalSeriousInjuries,TotalMinorInjuries,TotalUninjured,WeatherCondition,BroadPhaseofFlight,ReportStatus,PublicationDate,Random
258,20190327X81509,Accident,CEN19FA109,3/27/2019,"Montogomery, TX",North America,30.510278,-95.770834,,N/A,Fatal(1),Substantial,Helicopter,N818MC,Aerospatiale,AS350,No,,,Public Aircraft,,Public Aircraft - Federal,,1,2,,,,MANEUVERING,Preliminary,5/2/2019,0.802552549
259,20190328X91943,Accident,GAA19CA185,3/28/2019,"Hermiston, OR",North America,45.82,-119.280834,HRI,HERMISTON MUNI,Non-Fatal,Substantial,Airplane,N4250X,Rockwell,S 2R,No,1,Turbo Prop,Part 137: Agricultural,,Aerial Application,,,,1,,VMC,APPROACH,Probable Cause,11/6/2019,0.069589763
260,20190401X14158,Accident,CEN19LA113,3/28/2019,"Spring, TX",North America,30.061667,-95.552778,DWH,David Wayne Hooks Memorial,Non-Fatal,Substantial,Airplane,N494JB,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,TAXI,Preliminary,5/22/2019,0.06795877
261,20190329X55659,Accident,GAA19CA198,3/29/2019,"Ormond Beach, FL",North America,29.301111,-81.113889,OMN,Ormond Beach Muni,Non-Fatal,Substantial,Airplane,N195PC,Cessna,195,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,LANDING,Probable Cause,11/6/2019,0.271643206
262,20190329X42016,Accident,GAA19CA186,3/29/2019,"Valley Center, CA",North America,33.317223,-117.043611,,N/A,Non-Fatal,Substantial,Helicopter,N83181,Bell,206,No,1,Turbo Shaft,Part 137: Agricultural,,Aerial Application,,,1,1,,VMC,TAKEOFF,Factual,10/15/2019,0.641087361
264,20190401X92420,Accident,CEN19TA112,3/29/2019,"Aberdeen, MS",North America,33.877778,-88.4875,M40,Monroe County,Non-Fatal,Substantial,Airplane,N8397W,PIPER,PA28,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,2,,VMC,LANDING,Factual,5/9/2019,0.422199124
265,20190403X40612,Accident,WPR19LA105,3/30/2019,"Copalis, WA",North America,47.07,-124.119723,,N/A,Non-Fatal,Destroyed,Airplane,N215T,Piper,PA18,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,1,,,,Preliminary,4/18/2019,0.169338074
266,20190408X91851,Accident,GAA19WA201,3/30/2019,"Castel Viscardo, Italy",Europe,42.736944,11.980834,,,Fatal(1),Destroyed,Airplane,,MORAVAN,Z-50LA,,,,"Non-U.S., Non-Commercial",,,,1,,,,,,Foreign,,0.784382436
267,20190402X05318,Accident,GAA19WA188,3/30/2019,"Snowshoe Lake, Ontario, Canada",North America,50.588333,95.099444,,"Snowshoe Lake, Canada",Fatal(1),Substantial,Airplane,,PIPER,J3C,No,,,"Non-U.S., Non-Commercial",,,,1,1,,,,APPROACH,Foreign,,0.146383831
268,20190331X75451,Accident,ERA19TA146,3/30/2019,"Fort Myers, FL",North America,26.586666,-81.863333,FMY,Page Field,Non-Fatal,Substantial,Airplane,N4335R,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,TAXI,Factual,4/30/2019,0.553670519
269,20190330X70118,Accident,ERA19LA145,3/30/2019,"Montgomery, NY",North America,41.539444,-74.306944,,PVT,Non-Fatal,Substantial,Helicopter,N222ML,Bell,222,No,2,Turbo Shaft,Part 91: General Aviation,,Personal,,,,1,5,VMC,TAKEOFF,Preliminary,4/12/2019,0.863815567
270,20190330X94602,Accident,ERA19LA141,3/30/2019,"Palatka, FL",North America,29.718334,-81.673056,,N/A,Non-Fatal,Substantial,Airplane,N81KK,Flight Design,CTLS,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,2,,,VMC,,Preliminary,4/12/2019,0.090884937
271,20190331X02304,Accident,WPR19LA102,3/31/2019,"Placerville, CA",North America,38.728056,-120.745277,PVF,Placerville,Non-Fatal,Substantial,Airplane,N7033Q,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,CLIMB,Preliminary,4/18/2019,0.48849446
272,20190331X20824,Accident,WPR19FA103,3/31/2019,"Farmington, NM",North America,36.218334,-108.016389,,N/A,Fatal(1),Destroyed,Airplane,N173CT,Cirrus,SR22,No,,,Part 91: General Aviation,,Personal,,1,,,,VMC,,Preliminary,4/9/2019,0.768468493
274,20190507X52101,Accident,GAA19CA252,3/31/2019,"Coldfoot, AK",North America,67.213889,-149.810556,,N/A,Non-Fatal,Substantial,Helicopter,C-GTNV,Aerospatiale,AS350,No,1,Turbo Shaft,Part 91: General Aviation,,Other Work Use,,,,,3,VMC,MANEUVERING,Probable Cause,11/6/2019,0.90187395
275,20190401X14946,Accident,GAA19CA192,3/31/2019,"Stephenville, TX",North America,32.215278,-98.177778,SEP,Stephenville Clark Rgnl,Non-Fatal,Substantial,Airplane,N902RA,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,1,,VMC,,Probable Cause,11/6/2019,0.111585203
276,20190331X91146,Accident,GAA19CA191,3/31/2019,"Swainsboro, GA",North America,32.609167,-82.37,SBO,East Georgia Regional,Non-Fatal,Substantial,Airplane,N75242,Piper,PA32,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Factual,10/22/2019,0.373110508
277,20190331X54036,Accident,GAA19CA184,3/31/2019,"Afton, WY",North America,42.708889,-110.942222,AFO,Afton Muni,Non-Fatal,Substantial,Airplane,N676SC,Piper,PA 16,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,,Probable Cause,11/6/2019,0.978508281
278,20190401X25202,Accident,WPR19LA104,4/1/2019,"Napa, CA",North America,38.375,-122.336666,,N/A,Non-Fatal,,Balloon,N6954Y,Cameron,A-400,No,,,Part 91: General Aviation,,Business,,,1,2,17,,,Preliminary,4/18/2019,0.337861971
281,20190402X34810,Accident,GAA19CA195,4/2/2019,"Taunton, MA",North America,41.874445,-71.016389,TAN,Taunton Muni - King Field,Non-Fatal,Substantial,Helicopter,N344R,Robinson,R44,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,MANEUVERING,Factual,1/14/2020,0.343053541
282,20190402X91643,Accident,GAA19CA194,4/2/2019,"Clemson, SC",North America,34.671945,-82.883611,CEU,OCONEE COUNTY RGNL,Non-Fatal,Substantial,Airplane,N54222,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,1,,VMC,LANDING,Probable Cause,11/6/2019,0.966801617
284,20190403X84357,Accident,CEN19LA116,4/2/2019,"Lafe, AR",North America,36.204444,-90.548889,PVT,Private,Non-Fatal,Substantial,Airplane,N265GB,BERKEY,S-6ES,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,APPROACH,Factual,5/9/2019,0.063610159
285,20190403X45656,Accident,GAA19CA196,4/3/2019,"Lakeland, FL",North America,27.9875,-82.018889,LAL,Lakeland Linder Intl,Non-Fatal,Substantial,Airplane,N4821S,Piper,PA32,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,3,VMC,TAXI,Probable Cause,11/6/2019,0.290049976
286,20190501X24852,Accident,CEN19LA132,4/3/2019,"Prairieville, LA",North America,30.346389,-91.029445,,N/A,Non-Fatal,Minor,Airplane,N41AT,Piper,PA28R,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,1,,,VMC,,Factual,7/2/2019,0.179834452
287,20190408X12655,Accident,GAA19CA200,4/4/2019,"Fort Worth, TX",North America,32.931111,-97.411667,T67,HICKS AIRFIELD,Non-Fatal,Substantial,Airplane,N801R,Zenair,ZENITH CH 801,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,3,VMC,LANDING,Factual,1/14/2020,0.912767537
288,20190404X73355,Accident,GAA19CA199,4/4/2019,"Monument Valley, UT",North America,37.016667,-110.200556,UT25,MONUMENT VALLEY,Non-Fatal,Substantial,Airplane,N925SF,Beech,36,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,LANDING,Probable Cause,11/6/2019,0.401711094
289,20190404X74451,Accident,ERA19LA143,4/4/2019,"Edgefield, SC",North America,33.768889,-81.986666,,N/A,Non-Fatal,Substantial,Airplane,N7622M,Cessna,175,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,,Preliminary,4/12/2019,0.076841087
290,20190404X54040,Accident,ERA19FA142,4/4/2019,"Tampa, FL",North America,27.943333,-82.401944,,N/A,Fatal(1),Substantial,Helicopter,N4046J,ROBINSON,R44 II,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,1,,2,VMC,CRUISE,Preliminary,4/12/2019,0.505567338
291,20190506X84901,Accident,DCA19CA146,4/4/2019,"Atlanta, GA",North America,33.643889,-84.436944,KATL,Hartsfield - Jackson Atlanta I,Non-Fatal,Substantial,Airplane,N977DL,MCDONNELL DOUGLAS,MD88,No,2,,Part 121: Air Carrier,SCHD,,Delta Air Lines,,,1,,VMC,,Preliminary,9/18/2019,0.51930302
292,20190407X73853,Accident,ERA19LA144,4/6/2019,"Clover, VA",North America,36.819723,-78.783056,07VA,Alpha Hotel,Non-Fatal,Destroyed,Helicopter,N4047H,Robinson,R22,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,1,,,VMC,TAKEOFF,Preliminary,5/6/2019,0.093026925
294,20190408X94603,Accident,WPR19FA106,4/8/2019,"Santa Fe, NM",North America,35.617223,-106.089444,SAF,Santa Fe Muni,Fatal(2),Destroyed,Airplane,N118LS,TECNAM,P2002,No,,,Part 91: General Aviation,,Instructional,,2,,,,VMC,TAKEOFF,Preliminary,5/1/2019,0.645403924
295,20190408X05930,Accident,ERA19CA148,4/8/2019,"Lancaster, PA",North America,40.118889,-76.299444,LNS,LANCASTER,Non-Fatal,Substantial,Airplane,N68727,Cessna,152,No,1,,Part 91: General Aviation,,Instructional,,,,1,,,,Preliminary,9/24/2019,0.932764391
296,20190409X51503,Accident,CEN19FA117,4/9/2019,"Harlingen, TX",North America,26.2925,-97.765,,N/A,Fatal(1),Destroyed,Airplane,N7314D,Air Tractor,AT 502,No,1,Turbo Prop,Part 137: Agricultural,,Aerial Application,,1,,,,VMC,MANEUVERING,Preliminary,4/22/2019,0.942141339
297,20190410X51002,Accident,GAA19CA202,4/10/2019,"Sisters, OR",North America,45.588611,-122.596944,6K5,Sisters Eagle Air,Non-Fatal,Substantial,Airplane,N92798,Piper,PA 12,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,1,1,VMC,LANDING,Probable Cause,11/6/2019,0.763267747
298,20190411X81517,Accident,ERA19CA147,4/10/2019,"Gallatin, TN",North America,36.375,-86.408333,XNX,Sumner County Rgnl,Non-Fatal,Substantial,Helicopter,N104CV,GASKINS,SAFARI 400,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,2,,VMC,MANEUVERING,Factual,11/1/2019,0.747637572
299,20190415X21036,Accident,GAA19CA204,4/11/2019,"Marysville, OH",North America,40.224723,-83.350278,MRT,UNION COUNTY,Non-Fatal,Substantial,Airplane,N2238T,Cessna,R182,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,11/6/2019,0.265523052
300,20190411X54423,Accident,GAA19CA203,4/11/2019,"Fullteron, CA",North America,33.871945,-117.979723,FUL,Fullerton Muni,Non-Fatal,Substantial,Airplane,N9964L,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,1,VMC,LANDING,Probable Cause,11/6/2019,0.37020616
301,20190411X64435,Accident,ERA19LA151,4/11/2019,"Fulton, NY",North America,43.329167,-76.413889,FZY,Oswego County,Non-Fatal,Substantial,Airplane,N3795J,Cessna,150,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,1,,,VMC,APPROACH,Preliminary,4/25/2019,0.327991059
302,20190411X15518,Accident,ERA19LA149,4/11/2019,"Meriden, CT",North America,41.526945,-72.831389,MMK,Meriden Markham Muni,Non-Fatal,Substantial,Airplane,N38658,Piper,PA28R,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,2,,,VMC,APPROACH,Factual,10/25/2019,0.763204143
304,20190415X62333,Accident,ANC19LA016,4/11/2019,"Bethel, AK",North America,61.033334,-161.133334,,N/A,Non-Fatal,Substantial,Airplane,N4466T,Piper,PA-32-300,No,1,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,,Yute Commuter Service,,,,4,VMC,CRUISE,Preliminary,4/30/2019,0.433189911
305,20190417X42240,Accident,GAA19CA209,4/12/2019,"Big Pine, FL",North America,24.727223,-81.39,,N/A,Non-Fatal,Substantial,Helicopter,N173MS,Bell,206,No,1,Turbo Shaft,Public Aircraft,,Public Aircraft - Local,,,,,1,VMC,STANDING,Factual,1/7/2020,0.016976885
307,20190414X84852,Accident,WPR19LA108,4/13/2019,"Winters, CA",North America,38.553333,-121.866667,,N/A,Non-Fatal,Substantial,Airplane,N120EJ,Europa,XS,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,1,,,VMC,CRUISE,Preliminary,4/25/2019,0.763629769
309,20190413X80653,Accident,GAA19CA207B,4/13/2019,"Chino, CA",North America,33.974723,-117.636389,CNO,Chino,Non-Fatal,Minor,Airplane,N316RM,MORRISON ROCKY V,Sportsman GS-2,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,3,VMC,TAXI,Probable Cause,11/6/2019,0.88567904
310,20190413X80653,Accident,GAA19CA207A,4/13/2019,"Chino, CA",North America,33.974723,-117.636389,CNO,Chino,Non-Fatal,Substantial,Airplane,N3375G,North American,SNJ,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,3,VMC,TAXI,Probable Cause,11/6/2019,0.165150526
311,20190415X22344,Accident,GAA19CA205,4/13/2019,"Seward, AK",North America,60.3,-149.15,,N/A,Non-Fatal,Substantial,Airplane,N3821P,Piper,PA22,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,,Factual,1/15/2020,0.820257886
312,20190415X91116,Accident,ERA19TA153,4/13/2019,"Bradenton Beach, FL",North America,27.450556,-82.686111,,N/A,Non-Fatal,Substantial,Helicopter,N689M,Robinson,R22,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,2,VMC,MANEUVERING,Factual,5/15/2019,0.409889349
313,20190414X14908,Accident,CEN19FA120,4/13/2019,"Lake, MS",North America,32.34,-89.364444,,N/A,Fatal(1),Destroyed,Airplane,N4890L,PIPER,PA28,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,,,Preliminary,5/9/2019,0.062445147
314,20190414X81253,Accident,CEN19FA119,4/13/2019,"New Albany, MS",North America,34.3825,-88.956111,,N/A,Fatal(3),Destroyed,Airplane,N265DS,Sabreliner,NA265,No,2,Turbo Fan,Part 91: General Aviation,,Personal,,3,,,,,,Preliminary,4/25/2019,0.523724923
316,20190414X23408,Accident,WPR19TA110,4/14/2019,"St. Helena, CA",North America,38.443333,-122.046666,,N/A,Non-Fatal,Minor,Balloon,N355WC,Kubicek,BB100,No,,,Part 91: General Aviation,,Business,,,1,2,14,,CRUISE,Preliminary,4/25/2019,0.333819029
317,20190423X25154,Accident,GAA19CA217,4/14/2019,"Wall, SD",North America,43.999444,-102.254722,6V4,WALL MUNI,Non-Fatal,Substantial,Airplane,N277E,Vans,VANS RV-12,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,1,1,VMC,TAKEOFF,Probable Cause,11/6/2019,0.798222856
318,20190415X91624,Accident,GAA19CA214,4/14/2019,"Limington, ME",North America,43.763056,-70.6725,63B,Limington-Harmon,Non-Fatal,Substantial,Airplane,N4796B,Cessna,180,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Factual,1/7/2020,0.864543128
319,20190415X91401,Accident,GAA19CA213,4/14/2019,"Bangor, ME",North America,44.808056,-68.829445,BGR,BANGOR INTL,Non-Fatal,Substantial,Airplane,N4916B,Cessna,152,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,1,1,VMC,LANDING,Probable Cause,11/6/2019,0.931159986
320,20190415X91813,Accident,ERA19LA150,4/14/2019,"New York, NY",North America,40.676945,-73.714167,JFK,John F Kennedy Intl,Non-Fatal,Substantial,Airplane,N5296H,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,3,,IMC,APPROACH,Factual,12/9/2019,0.025282184
321,20190416X82224,Accident,GAA19CA215,4/15/2019,"Lebanon, IN",North America,40.007222,-86.440555,6I4,Boone County,Non-Fatal,Substantial,Airplane,N3243,Kaminskas,RTH JUNGSTER 1,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,11/6/2019,0.41054046
322,20190416X81531,Accident,GAA19CA208,4/15/2019,"Elizabeth, CO",North America,39.385277,-104.605,,N/A,Non-Fatal,Substantial,Powered Parachute,N5622D,AIRFRAMES UNLIMITED,OUTLAW,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,1,,,VMC,TAKEOFF,Probable Cause,11/6/2019,0.27143326
323,20190416X80409,Accident,GAA19CA206,4/15/2019,"Hutchinson, KS",North America,38.066111,-97.860556,HUT,Hutchinson Rgnl,Non-Fatal,Substantial,Airplane,N55275,Piper,PA28R,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,3,VMC,LANDING,Probable Cause,11/6/2019,0.703758597
324,20190415X92143,Accident,ERA19LA152,4/15/2019,"Dublin, GA",North America,32,-82,48GA,Fairview Park Hospital,Non-Fatal,Substantial,Helicopter,N395AE,Bell,206,No,1,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,,Air Evac Ems Inc,,,,3,VMC,TAKEOFF,Preliminary,4/24/2019,0.222062807
325,20190416X30036,Accident,ANC19TA017,4/15/2019,"Nome, AK",North America,65.925834,-164.611389,,N/A,Non-Fatal,Substantial,Airplane,N5163E,Cessna,A185,No,,,Public Aircraft,,Public Aircraft - Federal,,,1,,,IMC,,Preliminary,4/30/2019,0.957622644
326,20190417X11351,Accident,WPR19LA112,4/16/2019,"Morganza, LA",North America,30.7225,-91.648055,,Frey Farms,Non-Fatal,Substantial,Airplane,N599LA,Air Tractor,AT502,No,,Turbo Shaft,Part 137: Agricultural,,Aerial Application,,,1,,,VMC,APPROACH,Preliminary,5/14/2019,0.769815742
327,20190416X94734,Accident,WPR19LA111,4/16/2019,"Hauula, HI",North America,21.588333,-157.911944,,N/A,Non-Fatal,Substantial,Helicopter,N593C,MD HELICOPTER,369,No,1,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,,K & S Helicopters Inc,,,,4,VMC,CRUISE,Preliminary,4/18/2019,0.801143576
328,20190416X22532,Accident,WPR19FA109,4/16/2019,"Fort McDowell, AZ",North America,33.623611,-111.675556,,N/A,Fatal(2),Destroyed,Helicopter,N61PH,Bell,206,No,1,Turbo Shaft,Part 91: General Aviation,,Flight Test,,2,,,,VMC,MANEUVERING,Preliminary,4/23/2019,0.864416009
330,20190416X40934,Accident,GAA19CA211,4/16/2019,"Denver, CO",North America,39.57,-104.849444,APA,Centennial,Non-Fatal,Substantial,Airplane,N755K,Tubbs S/Performance Air Inc,PA-18-225,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,11/6/2019,0.213321286
331,20190416X11603,Accident,CEN19LA121,4/16/2019,"Omaha, NE",North America,41.414444,-96.108333,3NO,North Omaha Airport,Non-Fatal,Substantial,Helicopter,N109PD,Bell,OH 58A,No,1,Turbo Shaft,Public Aircraft,,Public Aircraft - Local,,,,,2,VMC,TAKEOFF,Factual,12/4/2019,0.254682931
332,20190417X33913,Accident,GAA19CA216,4/17/2019,"Donna, TX",North America,26.204444,-98.051667,,N/A,Non-Fatal,Substantial,Helicopter,N96671,Bell,47G,No,1,Reciprocating,Part 137: Agricultural,,Aerial Application,,,,,1,VMC,,Probable Cause,11/6/2019,0.847409923
333,20190418X41557,Accident,GAA19CA212,4/17/2019,"Wickenburg, AZ",North America,33.970556,-112.795,E25,Wickenburg Muni,Non-Fatal,Substantial,Airplane,N425PA,Piper,PA28,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,1,,VMC,,Probable Cause,11/6/2019,0.894393315
334,20190419X20601,Accident,WPR19FA116,4/18/2019,"Brookings, OR",North America,42.083889,-124.301667,BOK,Brookings Airport,Fatal(2),Substantial,Airplane,N791PF,Vans,RV8,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,2,,,,VMC,TAKEOFF,Preliminary,5/1/2019,0.581778388
335,20190418X14517,Accident,WPR19FA115,4/18/2019,"Fullerton, CA",North America,33.871389,-117.981389,FUL,Fullerton,Fatal(1),Destroyed,Airplane,N65MY,Beech,60,No,,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,TAKEOFF,Preliminary,5/1/2019,0.485863392
336,20190628X63755,Incident,ERA19WA203,4/18/2019,"Rio de Janeiro, South America",South America,-22.920834,-42.071389,SBCB,Cabo Frio,Incident,,Airplane,N100QR,Canadair,CL600 1A11,No,,,"Non-U.S., Non-Commercial",,,,,,,,,APPROACH,Foreign,,0.957211274
337,20190420X95256,Accident,WPR19LA117,4/19/2019,"Grass Valley, CA",North America,39.223889,-121.013333,GOO,Nevada County,Non-Fatal,Substantial,Airplane,N621JM,Nanchang,CJ 6,No,,,Part 91: General Aviation,,Personal,,,,2,,VMC,LANDING,Preliminary,5/1/2019,0.194980266
338,20190516X24200,Accident,GAA19CA268,4/19/2019,"Saipan, MP",North America,15.118056,145.724167,GSN,SAIPAN INTERNATIONAL AIRPORT,Non-Fatal,Substantial,Airplane,N4599X,Piper,PA32,No,1,Reciprocating,Part 135: Air Taxi & Commuter,SCHD,,Star Marianas Air Inc,,,,4,VMC,TAKEOFF,Probable Cause,11/6/2019,0.96636173
339,20190421X71224,Accident,CEN19LA126,4/19/2019,"Dwight, IL",North America,41.132778,-88.438333,DTG,Dwight Airport,Non-Fatal,Substantial,Airplane,N838JH,PIPER,PA28,No,,Reciprocating,Part 91: General Aviation,,Personal,,,,,3,VMC,,Factual,7/16/2019,0.429023165
340,20190424X81234,Accident,GAA19CA225,4/20/2019,"Scottsdale, AZ",North America,33.620278,-111.915278,SDL,SCOTTSDALE,Non-Fatal,Substantial,Airplane,N6023V,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,11/6/2019,0.46986416
341,20190420X85338,Accident,GAA19CA224,4/20/2019,"Bremen, AL",North America,33.983611,-87.059444,PVT,Private Airport,Non-Fatal,Substantial,Airplane,N1866B,Luscombe,8,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,TAKEOFF,Probable Cause,11/6/2019,0.297621046
342,20190422X35835,Accident,GAA19CA218,4/20/2019,"Reedsburg, WI",North America,43.525834,-89.983334,C35,Reedsburg Muni,Non-Fatal,Substantial,Airplane,N59DW,Cessna,180,No,1,Reciprocating,Part 91: General Aviation,,Aerial Observation,,,,,1,VMC,LANDING,Factual,1/7/2020,0.228322712
343,20190421X72042,Accident,CEN19LA125,4/20/2019,"St. Cloud, MN",North America,45.548055,-94.069723,STC,St. Cloud Regional Airport,Non-Fatal,Substantial,Airplane,N40956,Piper,PA-28R-200,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,LANDING,Factual,12/17/2019,0.52919793
344,20190421X72644,Accident,CEN19LA123,4/20/2019,"St Jacob, IL",North America,38.699722,-89.775,,N/A,Non-Fatal,Substantial,Helicopter,N766WC,Robinson,R66,No,1,Turbo Shaft,Part 137: Agricultural,,Aerial Application,,,1,,,VMC,MANEUVERING,Factual,11/21/2019,0.646961245
345,20190503X25208,Accident,WPR19LA130,4/21/2019,"Prineville, OR",North America,44.190277,-120.820556,OG21,Dry Creek Airpark,Non-Fatal,Substantial,Airplane,N4567C,Cessna,170,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,TAKEOFF,Preliminary,5/23/2019,0.761109495
346,20190421X80542,Accident,CEN19FA122,4/21/2019,"Kingsland, TX",North America,30.678334,-98.4175,44TE,Shirley Williams,Fatal(2),Destroyed,Airplane,N25TX,Rans,S7,No,1,Reciprocating,Part 91: General Aviation,,Personal,,2,,,,VMC,TAKEOFF,Preliminary,4/25/2019,0.624983972
347,20190423X73423,Accident,WPR19LA120,4/22/2019,"McCall, ID",North America,44.881111,-116.003611,MYL,McCall Muni,Non-Fatal,Substantial,Airplane,N727WW,Piper,PA 18 225 DD,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,,,Preliminary,5/15/2019,0.237785507
348,20190422X61451,Accident,WPR19FA118,4/22/2019,"Norco, CA",North America,33.929445,-117.575278,,N/A,Fatal(1),Destroyed,Airplane,N9MB,NORTHROP,N9M,No,,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,MANEUVERING,Preliminary,5/1/2019,0.776938225
349,20190422X91331,Accident,ERA19LA157,4/22/2019,"Holly Springs, NC",North America,34.491111,-77.531111,N21,Holly Ridge/Topsail Island,Non-Fatal,Substantial,Airplane,N289EH,BARROWS,Bearhawk LSA,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,1,,,VMC,APPROACH,Preliminary,6/14/2019,0.415542427
350,20190422X00632,Accident,ERA19FA154,4/22/2019,"Cleveland, NC",North America,35.755,-80.635,,N/A,Fatal(1),Destroyed,Airplane,N625J,Wheeler,EXPRESS SERIES 2000,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,CRUISE,Preliminary,5/2/2019,0.620857622
351,20190422X20140,Accident,CEN19FA124,4/22/2019,"Kerrville, TX",North America,30.0375,-99.185833,ERV,Kerrville Muni/Louis Schreiner,Fatal(6),Substantial,Airplane,N501CE,Beech,58,No,2,Reciprocating,Part 91: General Aviation,,Business,,6,,,,VMC,APPROACH,Preliminary,4/29/2019,0.543160912
352,20190423X32138,Accident,GAA19CA220,4/23/2019,"Prescott, AZ",North America,34.654722,-112.419167,PRC,Ernest A Love Field,Non-Fatal,Substantial,Airplane,N1897V,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,1,VMC,TAXI,Factual,5/9/2019,0.452178284
353,20190423X32656,Accident,GAA19CA219,4/23/2019,"Morgan, UT",North America,41.148611,-111.767223,42U,Morgan County,Non-Fatal,Substantial,Airplane,N1628C,Cessna,180,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Factual,7/17/2019,0.567721402
354,20190423X41929,Accident,ERA19LA156,4/23/2019,"Key West, FL",North America,24.651389,-82.867223,,N/A,Non-Fatal,Substantial,Airplane,N366TA,Cessna,208,No,1,Turbo Prop,Part 91: General Aviation,,Personal,,,,,5,VMC,TAKEOFF,Preliminary,5/6/2019,0.766954336
355,20190424X95940,Accident,ERA19FA155,4/23/2019,"Henderson, KY",North America,37.807222,-87.684444,EHR,HENDERSON CITY-COUNTY,Fatal(2),Substantial,Airplane,N9693E,Bellanca,1730,No,1,Reciprocating,Part 91: General Aviation,,Personal,,2,,,,VMC,UNKNOWN,Preliminary,5/3/2019,0.495410765
356,20190425X83902,Accident,WPR19FA121,4/25/2019,"Madera, CA",North America,36.998055,-120.126389,MAE,Madera Municipal Airport,Fatal(2),Substantial,Airplane,N797N,TL Ultralight SRO,STINGSPORT,No,,,Part 91: General Aviation,,Instructional,,2,,,,,TAKEOFF,Preliminary,5/15/2019,0.512040146
